Week,Day,Date,Winner/tie,Loser/tie,PtsW,PtsL
1,Fri,1970-09-18,Los Angeles Rams,St. Louis Cardinals,34,13
1,Sat,1979-09-01,Tampa Bay Buccaneers,Detroit Lions,31,16
1,Sun,1980-09-07,Minnesota Vikings,Atlanta Falcons,24,23
1,Sat,1981-09-05,Tampa Bay Buccaneers,Minnesota Vikings,21,13
1,Sun,1982-09-12,Atlanta Falcons,New York Giants,16,14
1,Sat,1983-09-03,Philadelphia Eagles,San Francisco 49ers,22,17
1,Sun,1984-09-02,Atlanta Falcons,New Orleans Saints,36,28
1,Sun,1985-09-08,Detroit Lions,Atlanta Falcons,28,27
1,Sun,1986-09-07,Atlanta Falcons,New Orleans Saints,31,10
1,Sun,1987-09-13,Tampa Bay Buccaneers,Atlanta Falcons,48,10
1,Sun,1988-09-04,Detroit Lions,Atlanta Falcons,31,17
1,Sun,1971-09-19,Atlanta Falcons,San Francisco 49ers,20,17
1,Sun,1989-09-10,Los Angeles Rams,Atlanta Falcons,31,21
1,Sun,1990-09-09,Chicago Bears,Seattle Seahawks,17,0
1,Sun,1991-09-01,Kansas City Chiefs,Atlanta Falcons,14,3
1,Sun,1992-09-06,Atlanta Falcons,New York Jets,20,17
1,Sun,1993-09-05,Detroit Lions,Atlanta Falcons,30,13
1,Sun,1994-09-04,Detroit Lions,Atlanta Falcons,31,28
1,Sun,1995-09-03,Atlanta Falcons,Carolina Panthers,23,20
1,Sun,1996-09-01,Carolina Panthers,Atlanta Falcons,29,6
1,Sun,1997-08-31,Detroit Lions,Atlanta Falcons,28,17
1,Sun,1998-09-06,Atlanta Falcons,Carolina Panthers,19,14
1,Sun,1972-09-17,New York Jets,Buffalo Bills,41,24
1,Sun,1999-09-12,Dallas Cowboys,Washington Redskins,41,35
1,Sun,2000-09-03,Minnesota Vikings,Chicago Bears,30,27
1,Sun,2001-09-09,Oakland Raiders,Kansas City Chiefs,27,24
1,Thu,2002-09-05,San Francisco 49ers,New York Giants,16,13
1,Thu,2003-09-04,Washington Redskins,New York Jets,16,13
1,Thu,2004-09-09,New England Patriots,Indianapolis Colts,27,24
1,Thu,2005-09-08,New England Patriots,Oakland Raiders,30,20
1,Thu,2006-09-07,Pittsburgh Steelers,Miami Dolphins,28,17
1,Thu,2007-09-06,Indianapolis Colts,New Orleans Saints,41,10
1,Thu,2008-09-04,New York Giants,Washington Redskins,16,7
1,Sun,1973-09-16,Buffalo Bills,New England Patriots,31,13
1,Thu,2009-09-10,Pittsburgh Steelers,Tennessee Titans,13,10
1,Thu,2010-09-09,New Orleans Saints,Minnesota Vikings,14,9
1,Thu,2011-09-08,Green Bay Packers,New Orleans Saints,42,34
1,Wed,2012-09-05,Dallas Cowboys,New York Giants,24,17
1,Thu,2013-09-05,Denver Broncos,Baltimore Ravens,49,27
1,Thu,2014-09-04,Seattle Seahawks,Green Bay Packers,36,16
1,Thu,2015-09-10,New England Patriots,Pittsburgh Steelers,28,21
1,Thu,2016-09-08,Denver Broncos,Carolina Panthers,21,20
1,Thu,2017-09-07,Kansas City Chiefs,New England Patriots,42,27
1,Thu,2018-09-06,Philadelphia Eagles,Atlanta Falcons,18,12
1,Sun,1974-09-15,Cincinnati Bengals,Cleveland Browns,33,7
1,Thu,2019-09-05,Green Bay Packers,Chicago Bears,10,3
1,Thu,2020-09-10,Kansas City Chiefs,Houston Texans,34,20
1,Sun,1975-09-21,Buffalo Bills,New York Jets,42,14
1,Sun,1976-09-12,Los Angeles Rams,Atlanta Falcons,30,14
1,Sun,1977-09-18,Atlanta Falcons,Los Angeles Rams,17,6
1,Sat,1978-09-02,New York Giants,Tampa Bay Buccaneers,19,13
